Код ОП,Бренд ОП,Область,Населённый пункт название,Адрес Офиса продаж,GPS координаты. широта,GPS координаты. долгота,Режим работы,Тип строения,Дата закрытия точки,Дата открытия точки,ТП
81101719,МТС ФР,Алтайский край,Алейск,город Алейск улица Пионерская 134,52.497389,82.772969,ежедн. 09:00-20:00,ТЦ,,,ДС Сотникова
81101724,МТС ФР,Алтайский край,Алтайское,село Алтайское улица Советская 119,51.949095,85.336498,ежедн. 09:00-19:00,Стрит,,,ДС Сотникова
81109237,Виртуальный монобренд,Алтайский край,Барнаул,город Барнаул проспект Красноармейский 47а,53.335253,83.77541,ежедн. 09:00-20:00,ТЦ,,,ДС Сотникова
81108534,МТС ФР,Алтайский край,Барнаул,город Барнаул проспект Ленина 49,53.344242,83.780477,ежедн. 09:00-21:00,,,,ДС Сотникова
81102140,МТС ФР,Алтайский край,Барнаул,город Барнаул проспект Ленина 89В,53.355271,83.76851,ежедн. 09:00-21:00,Стрит,,,ДС Сотникова
81102990,МТС ФР,Алтайский край,Барнаул,город Барнаул улица Ленина 51,53.344742,83.779925,ежедн. 09:00-21:00,Стрит,,,ДС Сотникова
81107087,МТС ФР,Алтайский край,Барнаул,город Барнаул улица Малахова 62,53.36608,83.7037,ежедн. 09:00-21:00,ТЦ,,,ДС Сотникова
81110837,Виртуальный монобренд,Алтайский край,Барнаул,город Барнаул улица Новосибирская 11А,53.305308,83.615106,ежедн. 09:00-20:00,ТЦ,,,ДС Сотникова
81108636,МТС ФР,Алтайский край,Барнаул,город Барнаул улица Новосибирская 11Б,53.306723,83.617944,ежедн. 09:00-20:00,,,,ДС Сотникова
81110868,Виртуальный монобренд,Алтайский край,Барнаул,город Барнаул улица Павловский тракт 188,53.348423,83.638020,ежедн. 10:00-20:00,ТЦ,,,ДС Сотникова
81102989,МТС ФР,Алтайский край,Барнаул,город Барнаул улица Титова 20,53.382822,83.725731,ежедн. 09:00-19:00,Стрит,,,ДС Сотникова
81101745,МТС ФР,Алтайский край,Барнаул,город Барнаул улица Юрина 299,53.371658,83.673433,ежедн. 09:00-21:00,Стрит,,,ДС Сотникова
81108535,МТС ФР,Алтайский край,Белокуриха,город Белокуриха улица Советская 7,51.997025,84.981345,ежедн. 09:00-20:00,,,,ДС Сотникова
81101723,МТС ФР,Алтайский край,Благовещенка,поселок городского типа Благовещенка улица Пушкина 88,52.833673,79.875615,"пн-пт 09:00-19:00, сб 09:00-17:00, вс 09:00-16:00",Стрит,,,ДС Сотникова
81101750,МТС ФР,Алтайский край,Волчиха,село Волчиха улица Ленина 248,52.015021,80.361489,"ПН-ПТ 10:00-19:00, СБ-ВС 10:00-15:00",ТЦ,,,ДС Сотникова
81108417,МТС ФР,Алтайский край,Гальбштадт,село Гальбштадт улица Тракторная 5,,,"пн-пт 09:00-20:00, сб-вс 09:00-19:00",Стрит,,,
81101725,МТС ФР,Алтайский край,Горняк,город Горняк улица Миронова 124Б,51.002757,81.465931,ежедн. 09:00-18:00,ТЦ,,,
81103323,МТС ФР,Алтайский край,Завьялово,село Завьялово улица Советская 130,52.836558,80.918237,ежедн. 09:00-20:00,ТЦ,,,ДС Сотникова
81106903,МТС ФР,Алтайский край,Змеиногорск,город Змеиногорск улица Пугачева 5А,51.157105,82.187315,ежедн. 09:00-19:00,Стрит,,,ДС Сотникова
81101715,МТС ФР,Алтайский край,Камень-на-Оби,город Камень-на-Оби улица Пушкина 25,53.791052,81.347645,ежедн. 10:00-20:00,Стрит,,,ДС Сотникова
81106247,МТС ФР,Алтайский край,Ключи,село Ключи улица Центральная 24Б,52.254090,79.169545,ежедн. 09:00-19:00,Стрит,,,ДС Сотникова
81101718,МТС ФР,Алтайский край,Кулунда,село Кулунда улица Лермонтова 2/9,52.565860,78.940750,ежедн. 09:00-19:00,ТЦ,,,ДС Сотникова
81104202,МТС ФР,Алтайский край,Курья,село Курья улица Центральная 74,51.597459,82.288878,ежедн. 09:00-18:00,ТЦ,,,
81105728,МТС ФР,Алтайский край,Мамонтово,село Мамонтово улица Партизанская 162,52.707892,81.628760,"ежедн. 09:00-19:00, перерыв 13:00-13:30",ТЦ,,,ДС Сотникова
81101798,МТС ФР,Алтайский край,Михайловское,село Михайловское улица Карла Маркса 19,51.822991,79.71802,ежедн. 09:00-19:00,ТЦ,,,ДС Сотникова
81109238,Виртуальный монобренд,Алтайский край,Новоалтайск,город Новоалтайск улица Октябрьская 14а,53.389649,83.935229,ежедн. 09:00-20:00,,,,ДС Сотникова
81101747,МТС ФР,Алтайский край,Павловск,село Павловск улица Пожогина 5/1,53.315462,82.985632,"пн-пт 09:00-19:00, сб-вс 09:00-17:00",Стрит,,,ДС Сотникова
81106655,МТС ФР,Алтайский край,Панкрушиха,село Панкрушиха улица Некрасова 1а,53.828618,80.344439,ежедн. 09:00-19:00,ТЦ,,,ДС Сотникова
81101722,МТС ФР,Алтайский край,Поспелиха,село Поспелиха проспект Коммунистический 18,51.988524,81.826524,ежедн. 09:00-19:00,Стрит,,,ДС Сотникова
81101721,МТС ФР,Алтайский край,Ребриха,село Ребриха улица Революционная 3,53.075727,82.337972,ежедн. 09:00-19:00,ТЦ,,,ДС Сотникова
